Date,Open,High,Low,Close,Volume
1/2/2008 16:00:00,346.44,348.69,338.87,342.6,4306848
1/3/2008 16:00:00,342.63,343.42,338.26,342.67,3252846
1/4/2008 16:00:00,339.85,340.48,327.5,328.5,5360909
1/7/2008 16:00:00,326.97,331.14,318.67,324.63,6404945
1/8/2008 16:00:00,326.95,329.98,315.5,315.84,5341949
1/9/2008 16:00:00,315.02,326.67,311.26,326.6,6744242
1/10/2008 16:00:00,322.5,328.6,320.06,323.36,6334653
1/11/2008 16:00:00,321.35,324.73,315.06,319.13,4977841
1/14/2008 16:00:00,325.01,328.7,322.63,326.91,4448669
1/15/2008 16:00:00,323.13,324.52,317.69,318.83,5584773
1/16/2008 16:00:00,314.28,320,300.96,307.98,10562595
1/17/2008 16:00:00,310.6,312.87,299.01,300.39,8216873
1/18/2008 16:00:00,303.4,305,299.23,300.13,8542067
1/22/2008 16:00:00,281.02,298.75,280.6,292.17,9501793
1/23/2008 16:00:00,280.29,284,259.5,274.31,16971752
1/24/2008 16:00:00,279.7,289.85,277.07,287.25,9409332
1/25/2008 16:00:00,296.1,297.5,283.09,283.2,6965930
1/28/2008 16:00:00,284.94,286.12,274.3,277.99,5816620
1/29/2008 16:00:00,279.97,280.67,270.33,275.26,6284567
1/30/2008 16:00:00,274.95,280.21,271.76,274.14,7947343
1/31/2008 16:00:00,269.53,286.5,267.15,282.15,14871222
2/1/2008 16:00:00,264.47,268.33,255,257.95,17602440
2/4/2008 16:00:00,254.54,256.39,246.28,247.72,13160074
2/5/2008 16:00:00,244.5,254.5,244.26,253.4,11210033
2/6/2008 16:00:00,255.32,255.59,248.97,250.86,7640492
2/7/2008 16:00:00,248.43,257.1,247.38,252.48,7930092
2/8/2008 16:00:00,254.71,258.86,254.35,258.35,6831629
2/11/2008 16:00:00,260.45,261.86,256.7,260.58,5826685
2/12/2008 16:00:00,261.67,265.3,256.52,259.05,6662924
2/13/2008 16:00:00,261.25,267.5,259.35,267.31,6632316
2/14/2008 16:00:00,269.22,270.52,265.5,266.13,6480153
2/15/2008 16:00:00,264.99,266.33,262.17,264.82,5243514
2/19/2008 16:00:00,267.5,267.53,253.25,254.48,6352534
2/20/2008 16:00:00,251.55,255.51,249.41,254.5,6668010
2/21/2008 16:00:00,256.3,256.61,249.75,251.43,5678661
2/22/2008 16:00:00,251.03,254.5,248.78,253.9,5516476
2/25/2008 16:00:00,252.98,253.25,242.87,243.22,8326351
2/26/2008 16:00:00,230.65,233.24,223.43,232.1,23290880
2/27/2008 16:00:00,230.07,237.75,229.82,236.43,10127156
2/28/2008 16:00:00,235.25,239.55,233.68,237.7,6590488
2/29/2008 16:00:00,236,239.87,232.33,235.59,9426616
3/3/2008 16:00:00,235.7,236.36,225.06,228.51,7557087
3/4/2008 16:00:00,225.23,226.68,217.89,222.3,13628262
3/5/2008 16:00:00,222.76,227.09,222,223.85,7439608
3/6/2008 16:00:00,223.75,226.65,215.59,216.35,7471193
3/7/2008 16:00:00,214.22,220,213.12,216.68,8071886
3/10/2008 16:00:00,214.5,215.5,206.52,206.81,7989824
3/11/2008 16:00:00,212.63,220.08,212.33,219.92,8832034
3/12/2008 16:00:00,220.01,223.94,219.04,220.09,6652334
3/13/2008 16:00:00,215.74,223.49,214.39,221.51,7727576
3/14/2008 16:00:00,221.03,224.67,215.31,218.96,6574552
3/17/2008 16:00:00,214,216.86,206.06,209.94,7890149
3/18/2008 16:00:00,214.35,220.42,212.77,219.58,7240516
3/19/2008 16:00:00,220.56,223.75,215.84,216,6179192
3/20/2008 16:00:00,212.69,217.85,208.75,216.78,9913319
3/24/2008 16:00:00,219.22,232.89,218.86,230.28,6764494
3/25/2008 16:00:00,228.73,228.74,223,225.39,5833209
3/26/2008 16:00:00,226.3,231.44,224.65,229.1,5225697
3/27/2008 16:00:00,222.59,224.31,220.25,222.04,5832991
3/28/2008 16:00:00,223.18,226.78,217.16,219.04,4377076
3/31/2008 16:00:00,217.96,221.35,216.01,220.24,4446368
4/1/2008 16:00:00,223.44,233.25,223.44,232.86,6093549
